beechnut,time
9.34169,17.0911
9.34169,17.1064
9.34169,17.1232
9.34169,17.1403
9.34169,17.1578
9.34169,17.173
9.34169,17.1903
9.34169,17.2075
9.34169,17.2234
9.34169,17.2399
9.34169,17.2564
9.34169,17.2737
9.34169,17.2917
9.34169,17.3067
9.34169,17.3238
9.38811,17.3397
9.38811,17.3568
9.38811,17.3729
9.38811,17.39
9.38811,17.4074
9.38811,17.4246
9.38811,17.44
9.38811,17.4561
9.38811,17.4736
9.38811,17.4908
9.38811,17.5064
9.38811,17.524
9.38811,17.5395
9.38811,17.5566
9.38811,17.5733
9.38811,17.5906
9.38811,17.6073
9.38811,17.6247
9.38811,17.6412
9.38811,17.657
9.38811,17.6742
9.38811,17.6895
9.38811,17.7075
9.38811,17.7242
9.38811,17.7399
9.38811,17.7567
9.38811,17.7728
9.38811,17.7909
9.38811,17.8085
9.38811,17.8242
9.38811,17.8419
9.38811,17.8564
9.38811,17.874
9.38811,17.8912
9.38811,17.9079
9.38811,17.9242
9.38811,17.9396
9.38811,17.9571
9.38811,17.9728
9.38811,17.9911
9.38811,18.0063
9.38811,18.0236
9.38811,18.0414
9.38811,18.0571
9.38811,18.0728
9.38811,18.0897
9.38811,18.1086
9.38811,18.1237
9.38811,18.14
9.38811,18.1573
9.38811,18.1734
9.38811,18.1912
9.38811,18.2064
9.38811,18.224
9.38811,18.2401
9.38811,18.2572
9.38811,18.2736
9.38811,18.29
9.38811,18.3072
9.38811,18.3246
9.38811,18.3403
9.38811,18.3572
9.38811,18.3745
9.38811,18.39
9.38811,18.4062
9.38811,18.4253
9.38811,18.4407
9.38811,18.4586
9.38811,18.4741
9.38811,18.4902
9.38811,18.5078
9.38811,18.5243
9.38811,18.5398
9.38811,18.5562
9.38811,18.5739
9.38811,18.5921
9.38811,18.6075
9.38811,18.6229
9.38811,18.6397
9.38811,18.6586
9.38811,18.6741
9.38811,18.69
9.38811,18.7073
9.38811,18.7248
9.38811,18.7414
9.38811,18.7565
9.38811,18.7744
9.38811,18.7898
9.38811,18.8077
9.38811,18.8235
9.38811,18.8398
9.38811,18.8576
9.38811,18.8731
9.38811,18.8902
9.38811,18.9074
9.38811,18.9231
9.38811,18.941
9.38811,18.9571
9.38811,18.9734
9.38811,18.9896
9.38811,19.0072
9.38811,19.0235
9.38811,19.042
9.38811,19.0569
