miranda,time
30.3283,15.1672
30.3283,15.1819
30.3283,15.1997
30.3283,15.2156
30.3283,15.2326
30.3283,15.2495
30.3283,15.2654
30.3283,15.2819
30.3283,15.2993
30.3283,15.3153
30.3283,15.3321
30.3283,15.3512
30.3283,15.3656
30.3283,15.3831
30.3283,15.3987
30.3283,15.4162
30.3283,15.4326
30.3283,15.4498
30.3283,15.4676
30.3283,15.483
30.3283,15.4996
30.3283,15.5156
30.3283,15.5334
30.3283,15.5488
30.3283,15.5653
30.3283,15.582
30.3283,15.5993
30.3283,15.6157
30.3283,15.6325
30.3283,15.649
30.3283,15.6658
30.3283,15.6826
30.3283,15.6993
32.2392,15.7154
32.2392,15.7328
32.2392,15.7489
32.2392,15.7652
32.2392,15.7831
32.2392,15.7992
32.2392,15.8159
32.2392,15.8333
32.2392,15.8487
32.2392,15.8661
32.2392,15.8821
32.2392,15.8994
32.2392,15.915
32.2392,15.9342
32.2392,15.9485
32.2392,15.9655
32.2392,15.9839
32.2392,15.9988
32.2392,16.0161
32.2392,16.032
32.2392,16.0502
32.2392,16.0651
32.2392,16.0819
32.2392,16.0985
32.2392,16.134
32.2392,16.1406
32.2392,16.149
32.2392,16.1666
32.2392,16.182
32.2392,16.1998
32.2392,16.2151
32.2392,16.2341
32.2392,16.2486
32.2392,16.2678
32.2392,16.2819
32.2392,16.2984
33.0542,16.3177
33.0542,16.3328
33.0542,16.3499
33.0542,16.3657
33.0542,16.3828
33.0542,16.3986
33.0542,16.4174
33.0542,16.4322
33.0542,16.4491
33.0542,16.4658
33.0542,16.4819
33.0542,16.5012
33.0542,16.5153
33.0542,16.5344
33.0542,16.5486
33.0542,16.566
33.0542,16.5838
33.0542,16.5988
33.0542,16.6153
33.0542,16.6321
33.0542,16.649
33.0542,16.6651
33.0542,16.6824
33.0542,16.6988
33.0542,16.7163
33.0542,16.7334
33.0542,16.7495
33.0542,16.7657
33.0542,16.7818
33.0542,16.8007
33.0542,16.8152
33.0542,16.8321
33.0542,16.8507
33.0542,16.8654
33.0542,16.8828
33.0542,16.899
33.6317,16.9161
33.6317,16.9322
33.6317,16.9495
33.6317,16.9651
33.6317,16.9817
33.6317,16.9999
33.6317,17.0152
33.6317,17.0319
33.6317,17.0488
33.6317,17.0655
33.6317,17.0818
33.6317,17.0986
33.6317,17.1167
33.6317,17.1327
33.6317,17.1498
33.6317,17.1659
33.6317,17.1833
33.6317,17.1986
33.6317,17.2153
33.6317,17.2333
33.6317,17.2486
33.6317,17.2653
33.6317,17.2819
33.6317,17.2986
33.6317,17.3152
33.6317,17.3334
33.6317,17.3492
33.6317,17.3652
33.6317,17.3819
33.6317,17.3988
33.6317,17.4156
33.6317,17.4318
33.6317,17.4504
33.6317,17.4661
33.6317,17.4821
34.2471,17.4993
34.2471,17.5153
34.2471,17.5321
34.2471,17.5486
34.2471,17.567
34.2471,17.5826
34.2471,17.5986
34.2471,17.6155
34.2471,17.6321
34.2471,17.6493
34.2471,17.6652
34.2471,17.6823
34.2471,17.7003
34.2471,17.7153
34.2471,17.7342
34.2471,17.7485
34.2471,17.7672
34.2471,17.7821
34.2471,17.7989
34.2471,17.8157
34.2471,17.832
34.2471,17.8488
34.2471,17.8652
34.2471,17.8835
34.2471,17.9001
34.2471,17.9157
34.2471,17.9341
34.2471,17.9484
34.2471,17.9668
34.2471,17.9823
34.2471,17.9988
34.2471,18.017
34.2471,18.032
34.2471,18.0496
34.2471,18.0653
34.7332,18.0833
34.7332,18.1006
34.7332,18.1155
34.7332,18.1318
34.7332,18.1485
34.7332,18.1662
34.7332,18.1824
34.7332,18.1991
34.7332,18.2152
34.7332,18.2321
34.7332,18.249
34.7332,18.2653
34.7332,18.2824
34.7332,18.2989
34.7332,18.315
34.7332,18.3318
34.7332,18.3486
34.7332,18.3658
34.7332,18.3834
34.7332,18.3994
34.7332,18.4156
34.7332,18.432
34.7332,18.4486
34.7332,18.4657
34.7332,18.4822
34.7332,18.4989
34.7332,18.5151
34.7332,18.532
34.7332,18.5491
34.7332,18.5656
34.7332,18.5827
34.7332,18.5987
34.7332,18.617
35.473,18.6323
35.473,18.6488
35.473,18.6674
35.473,18.6818
35.473,18.6994
35.473,18.7152
35.473,18.7319
35.473,18.7486
35.473,18.7654
35.473,18.7838
35.473,18.7988
35.473,18.8157
35.473,18.8318
35.473,18.8486
35.473,18.8662
35.473,18.8818
35.473,18.8995
35.473,18.9152
35.473,18.9319
35.473,18.9488
35.473,18.9666
35.473,18.9824
35.473,18.9992
35.473,19.0154
35.473,19.0324
35.473,19.0506
35.473,19.0654
35.473,19.0829
35.473,19.0988
35.473,19.116
35.473,19.1328
35.473,19.1488
35.473,19.166
35.473,19.1824
35.8756,19.199
35.8756,19.2152
35.8756,19.2321
35.8756,19.2493
35.8756,19.2658
35.8756,19.2833
35.8756,19.2988
35.8756,19.3152
35.8756,19.3348
35.8756,19.3488
35.8756,19.366
35.8756,19.3818
35.8756,19.3999
35.8756,19.4155
35.8756,19.432
35.8756,19.4485
35.8756,19.4654
35.8756,19.482
35.8756,19.499
35.8756,19.5153
35.8756,19.5336
35.8756,19.5485
35.8756,19.5667
35.8756,19.5819
35.8756,19.5985
35.8756,19.6168
35.8756,19.6319
35.8756,19.6485
35.8756,19.6652
35.8756,19.6824
35.8756,19.6989
35.8756,19.7156
35.8756,19.732
35.7776,19.7493
35.7776,19.7661
35.7776,19.783
35.7776,19.7984
35.7776,19.8159
35.7776,19.8326
35.7776,19.8494
35.7776,19.8655
35.7776,19.882
35.7776,19.8995
35.7776,19.9158
35.7776,19.932
35.7776,19.9509
35.7776,19.9652
35.7776,19.9829
35.7776,20.0001
35.7776,20.0155
35.7776,20.032
35.7776,20.0486
35.7776,20.0659
35.7776,20.0843
35.7776,20.0987
35.7776,20.1163
35.7776,20.1331
35.7776,20.1487
35.7776,20.1655
35.7776,20.1823
35.7776,20.1989
35.7776,20.2161
35.7776,20.2321
35.7776,20.2488
35.7776,20.2662
35.7776,20.2825
36.9471,20.2992
36.9471,20.3152
36.9471,20.333
36.9471,20.349
36.9471,20.3653
36.9471,20.382
36.9471,20.3989
36.9471,20.4156
36.9471,20.4323
36.9471,20.4485
36.9471,20.4653
36.9471,20.4832
36.9471,20.4987
36.9471,20.5154
36.9471,20.5326
36.9471,20.5493
36.9471,20.5653
36.9471,20.5821
36.9471,20.5987
36.9471,20.6164
36.9471,20.6319
36.9471,20.6487
36.9471,20.6651
36.9471,20.6822
36.9471,20.6995
36.9471,20.7156
36.9471,20.7323
36.9471,20.749
36.9471,20.7655
36.9471,20.783
36.9471,20.8004
36.9471,20.8152
37.6876,20.8319
37.6876,20.8498
37.6876,20.8658
37.6876,20.8828
37.6876,20.899
37.6876,20.9154
37.6876,20.9336
37.6876,20.9486
37.6876,20.9654
37.6876,20.9823
37.6876,20.9985
37.6876,21.0164
37.6876,21.034
37.6876,21.049
37.6876,21.066
37.6876,21.0846
37.6876,21.0989
37.6876,21.1165
37.6876,21.132
37.6876,21.1486
37.6876,21.1655
37.6876,21.182
37.6876,21.1987
37.6876,21.2162
37.6876,21.2318
37.6876,21.2486
37.6876,21.267
37.6876,21.282
37.6876,21.2989
37.6876,21.3167
37.6876,21.332
38.6204,21.3497
38.6204,21.3675
38.6204,21.382
38.6204,21.4001
38.6204,21.4157
38.6204,21.4324
38.6204,21.4498
38.6204,21.4658
38.6204,21.4825
38.6204,21.4997
38.6204,21.5152
38.6204,21.5325
38.6204,21.551
38.6204,21.5652
38.6204,21.5828
38.6204,21.6007
38.6204,21.6153
38.6204,21.6323
38.6204,21.6496
38.6204,21.6652
38.6204,21.6829
38.6204,21.6992
38.6204,21.7155
38.6204,21.732
38.6204,21.7489
38.6204,21.7653
38.6204,21.7823
38.6204,21.8005
38.6204,21.8152
38.6204,21.833
39.4162,21.8496
39.4162,21.8655
39.4162,21.882
39.4162,21.8985
39.4162,21.9158
39.4162,21.9318
39.4162,21.9505
39.4162,21.9653
39.4162,21.9818
39.4162,21.9992
39.4162,22.0155
39.4162,22.0329
39.4162,22.0496
39.4162,22.0652
39.4162,22.0831
39.4162,22.0991
39.4162,22.1151
39.4162,22.1321
39.4162,22.1513
39.4162,22.1654
39.4162,22.1825
39.4162,22.1992
39.4162,22.2153
39.4162,22.2324
39.4162,22.2512
39.4162,22.2653
39.4162,22.282
39.4162,22.2985
39.4162,22.3156
39.4162,22.3322
39.4162,22.3486
39.3333,22.3667
39.3333,22.3832
39.3333,22.3991
39.3333,22.4162
39.3333,22.4326
39.3333,22.4487
39.3333,22.4664
39.3333,22.483
39.3333,22.4987
39.3333,22.5166
39.3333,22.5321
39.3333,22.5493
39.3333,22.5654
39.3333,22.5825
39.3333,22.5994
39.3333,22.6165
39.3333,22.6321
39.3333,22.6494
39.3333,22.6661
39.3333,22.6822
39.3333,22.6999
39.3333,22.7165
39.3333,22.732
39.3333,22.7504
39.3333,22.7658
39.3333,22.7819
39.3333,22.7998
39.3333,22.818
39.3333,22.8323
39.3333,22.8497
39.1329,22.8662
39.1329,22.8822
39.1329,22.8994
39.1329,22.9163
39.1329,22.9324
39.1329,22.9498
39.1329,22.9652
39.1329,22.982
39.1329,22.9996
39.1329,23.0153
39.1329,23.0327
39.1329,23.0497
39.1329,23.0653
39.1329,23.0819
39.1329,23.0992
39.1329,23.1178
39.1329,23.132
39.1329,23.1502
39.1329,23.1661
39.1329,23.1819
39.1329,23.2001
39.1329,23.2166
39.1329,23.2323
39.1329,23.2499
39.1329,23.266
39.1329,23.2819
39.1329,23.2988
39.1329,23.3158
39.1329,23.3319
39.1329,23.3501
40.2026,23.3668
40.2026,23.3824
40.2026,23.3989
40.2026,23.4154
40.2026,23.4318
40.2026,23.4487
40.2026,23.4675
40.2026,23.4825
40.2026,23.4989
40.2026,23.5153
40.2026,23.5333
40.2026,23.5486
40.2026,23.5659
40.2026,23.5819
40.2026,23.5987
40.2026,23.6152
40.2026,23.6336
40.2026,23.6486
40.2026,23.6656
40.2026,23.6826
40.2026,23.7004
40.2026,23.7156
40.2026,23.7322
40.2026,23.7497
40.2026,23.7652
40.2026,23.7819
40.2026,23.7998
40.2026,23.8156
40.2026,23.8325
41.8849,23.8496
41.8849,23.8677
41.8849,23.8823
41.8849,23.8985
41.8849,23.9158
41.8849,23.9318
41.8849,23.9485
41.8849,23.9663
41.8849,23.9818
41.8849,23.9986
41.8849,24.0154
41.8849,24.0336
41.8849,24.049
41.8849,24.0662
41.8849,24.0839
41.8849,24.0986
41.8849,24.1152
41.8849,24.1327
41.8849,24.1513
41.8849,24.1652
41.8849,24.1826
41.8849,24.1988
41.8849,24.2153
41.8849,24.232
41.8849,24.2489
41.8849,24.2675
41.8849,24.282
41.8849,24.2989
42.4391,24.3156
42.4391,24.332
42.4391,24.3485
42.4391,24.3653
42.4391,24.383
42.4391,24.3987
42.4391,24.4154
42.4391,24.4325
42.4391,24.4487
42.4391,24.4653
42.4391,24.4827
42.4391,24.4987
42.4391,24.5154
42.4391,24.5324
42.4391,24.5486
42.4391,24.5653
42.4391,24.5824
42.4391,24.5995
42.4391,24.618
42.4391,24.632
42.4391,24.6492
42.4391,24.6665
42.4391,24.682
42.4391,24.6992
42.4391,24.7168
42.4391,24.7335
42.4391,24.7485
42.4391,24.7652
42.9197,24.7824
42.9197,24.7987
42.9197,24.8152
42.9197,24.833
42.9197,24.8493
42.9197,24.8651
42.9197,24.8821
42.9197,24.8995
42.9197,24.918
42.9197,24.932
42.9197,24.9486
42.9197,24.9652
42.9197,24.9818
42.9197,24.9989
42.9197,25.0161
42.9197,25.0343
42.9197,25.0486
42.9197,25.0656
42.9197,25.084
42.9197,25.0986
42.9197,25.1152
42.9197,25.1334
42.9197,25.1498
42.9197,25.1652
42.9197,25.1826
42.9197,25.2001
42.9197,25.2177
42.9197,25.232
43.442,25.2491
43.442,25.2664
43.442,25.2825
43.442,25.2987
43.442,25.3158
43.442,25.3337
43.442,25.3489
43.442,25.3652
43.442,25.3835
43.442,25.4014
43.442,25.4153
43.442,25.432
43.442,25.4509
43.442,25.4654
43.442,25.4819
43.442,25.5
43.442,25.5167
43.442,25.5319
43.442,25.5491
43.442,25.5657
43.442,25.5838
43.442,25.599
43.442,25.6156
43.442,25.6328
43.442,25.6513
43.442,25.6654
43.442,25.6825
43.7922,25.6987
43.7922,25.7153
43.7922,25.7321
43.7922,25.7496
43.7922,25.7652
43.7922,25.7821
43.7922,25.7993
43.7922,25.8167
43.7922,25.8332
43.7922,25.8488
43.7922,25.8653
43.7922,25.8828
43.7922,25.8995
43.7922,25.9153
43.7922,25.9323
43.7922,25.9505
43.7922,25.9653
43.7922,25.9821
43.7922,25.9995
43.7922,26.0162
43.7922,26.0319
43.7922,26.0491
43.7922,26.0662
43.7922,26.0819
43.7922,26.0986
43.7922,26.1159
43.7922,26.1326
44.2388,26.151
44.2388,26.1654
44.2388,26.1822
44.2388,26.1994
44.2388,26.2155
44.2388,26.232
44.2388,26.2492
44.2388,26.2671
44.2388,26.2825
44.2388,26.2986
44.2388,26.3154
44.2388,26.3333
44.2388,26.3494
44.2388,26.3652
44.2388,26.3825
44.2388,26.3989
44.2388,26.4156
44.2388,26.432
44.2388,26.4486
44.2388,26.4662
44.2388,26.4825
44.2388,26.4992
44.2388,26.5155
44.2388,26.5319
44.2388,26.5492
44.2388,26.5653
44.2388,26.5819
44.8191,26.6002
44.8191,26.6159
44.8191,26.6325
44.8191,26.6489
44.8191,26.6668
44.8191,26.6826
44.8191,26.6992
44.8191,26.7163
44.8191,26.7324
44.8191,26.7506
44.8191,26.7653
44.8191,26.7828
44.8191,26.7995
44.8191,26.8178
44.8191,26.8323
44.8191,26.8487
44.8191,26.8668
44.8191,26.885
44.8191,26.8986
44.8191,26.9152
44.8191,26.9333
44.8191,26.9511
44.8191,26.9654
44.8191,26.9823
44.8191,26.9997
44.8191,27.0179
44.8191,27.0319
45.212,27.0486
45.212,27.0655
45.212,27.0823
45.212,27.0987
45.212,27.1154
45.212,27.1327
45.212,27.1493
45.212,27.1653
45.212,27.1819
45.212,27.1992
45.212,27.2152
45.212,27.2329
45.212,27.2487
45.212,27.2657
45.212,27.2832
45.212,27.3012
45.212,27.3153
45.212,27.3324
45.212,27.349
45.212,27.3655
45.212,27.382
45.212,27.3986
45.212,27.4163
45.212,27.4335
45.212,27.4515
45.212,27.4652
45.9751,27.4821
45.9751,27.4989
45.9751,27.5165
45.9751,27.5319
45.9751,27.5492
45.9751,27.5662
45.9751,27.5829
45.9751,27.5988
45.9751,27.6154
45.9751,27.6319
45.9751,27.649
45.9751,27.667
45.9751,27.6819
45.9751,27.6987
45.9751,27.7154
45.9751,27.7328
45.9751,27.749
45.9751,27.7654
45.9751,27.782
45.9751,27.7996
45.9751,27.8158
45.9751,27.8321
45.9751,27.8487
45.9751,27.8658
45.9751,27.8832
46.9625,27.9004
46.9625,27.9155
46.9625,27.9323
46.9625,27.9495
46.9625,27.9669
46.9625,27.982
46.9625,27.9988
46.9625,28.0161
46.9625,28.0334
46.9625,28.0495
46.9625,28.0653
46.9625,28.082
46.9625,28.0994
46.9625,28.1166
46.9625,28.1346
46.9625,28.1488
46.9625,28.1657
46.9625,28.1831
46.9625,28.1991
46.9625,28.2154
46.9625,28.2319
46.9625,28.2491
46.9625,28.2667
46.9625,28.2831
46.9625,28.2993
46.9625,28.3154
47.1748,28.3325
47.1748,28.3496
47.1748,28.367
47.1748,28.382
47.1748,28.3989
47.1748,28.4154
47.1748,28.4336
47.1748,28.4514
47.1748,28.4654
47.1748,28.4825
47.1748,28.4988
47.1748,28.5173
47.1748,28.5321
47.1748,28.5487
47.1748,28.5657
47.1748,28.5822
47.1748,28.5986
47.1748,28.6156
47.1748,28.6319
47.1748,28.6491
47.1748,28.6661
47.1748,28.6822
47.1748,28.6989
47.1748,28.7152
47.1748,28.7323
47.6684,28.7491
47.6684,28.7663
47.6684,28.7821
47.6684,28.7987
47.6684,28.8156
47.6684,28.8328
47.6684,28.8488
47.6684,28.8654
47.6684,28.882
47.6684,28.899
47.6684,28.9155
47.6684,28.9341
47.6684,28.9489
47.6684,28.9653
47.6684,28.982
47.6684,28.9987
47.6684,29.0166
47.6684,29.0322
47.6684,29.0487
47.6684,29.0654
47.6684,29.083
47.6684,29.0993
47.6684,29.1162
47.6684,29.1322
47.6684,29.1488
47.7875,29.1666
47.7875,29.1845
47.7875,29.1987
47.7875,29.2158
47.7875,29.2321
47.7875,29.2492
47.7875,29.2656
47.7875,29.2822
47.7875,29.2991
47.7875,29.316
47.7875,29.3333
47.7875,29.3487
47.7875,29.3659
47.7875,29.3826
47.7875,29.3996
47.7875,29.4153
47.7875,29.4321
47.7875,29.449
47.7875,29.4654
47.7875,29.4827
47.7875,29.5001
47.7875,29.5156
47.7875,29.5326
47.7875,29.5495
47.7875,29.5672
47.7875,29.5826
47.1006,29.5988
47.1006,29.616
47.1006,29.6329
47.1006,29.6503
47.1006,29.6655
47.1006,29.6824
47.1006,29.6991
47.1006,29.7152
47.1006,29.732
47.1006,29.7486
47.1006,29.7659
47.1006,29.7822
47.1006,29.8006
47.1006,29.8154
47.1006,29.8323
47.1006,29.8493
47.1006,29.8671
47.1006,29.8827
47.1006,29.8986
47.1006,29.9157
47.1006,29.9323
47.1006,29.95
47.1006,29.9662
47.1006,29.9821
47.1006,29.9992
47.0076,30.0155
47.0076,30.0334
47.0076,30.0487
47.0076,30.0653
47.0076,30.0819
47.0076,30.0992
47.0076,30.1157
47.0076,30.1328
