flower,time
14.2487,10.0348
14.2487,10.0512
14.4313,10.0679
14.4313,10.085
14.4313,10.1005
14.4313,10.1177
14.4313,10.1346
14.4313,10.1508
14.4313,10.1701
14.4313,10.184
14.4313,10.2014
14.4313,10.2174
14.4313,10.2339
14.4313,10.2534
14.4313,10.2689
14.4313,10.285
14.4313,10.3014
14.4313,10.3181
14.4313,10.3353
14.4313,10.3513
14.4313,10.3675
14.4313,10.3841
14.4313,10.4017
14.4313,10.418
14.4313,10.4356
14.4313,10.4516
14.4313,10.4674
14.4313,10.4871
14.4313,10.5017
14.4313,10.5177
14.4313,10.534
14.4313,10.5511
14.4313,10.5684
14.4313,10.5849
14.4313,10.6013
14.4313,10.6175
14.4313,10.6341
14.4313,10.6522
14.4313,10.6684
14.4313,10.6856
14.4313,10.7016
14.4313,10.7175
14.4313,10.734
14.4313,10.7516
14.4313,10.7677
14.4313,10.7843
14.4313,10.8023
14.4313,10.8189
14.4313,10.835
14.4313,10.8514
14.4313,10.8678
14.4313,10.8855
14.4313,10.9015
14.4313,10.92
14.4313,10.9339
14.4313,10.9512
14.4313,10.9691
14.4313,10.9849
14.4313,11.0019
14.4313,11.0175
14.4313,11.0345
14.4313,11.052
14.4313,11.0681
14.4313,11.0845
14.4313,11.1035
14.4313,11.1179
14.4313,11.134
14.4313,11.1506
14.4313,11.1678
14.4313,11.1867
14.4313,11.2021
14.4313,11.2172
14.4313,11.2342
14.4313,11.2513
14.4313,11.2701
14.4313,11.2841
14.4313,11.3007
14.4313,11.3184
14.4313,11.3357
14.4313,11.3518
14.4313,11.3692
14.4313,11.385
14.4313,11.4012
14.4313,11.4173
14.5931,11.4342
14.5931,11.4525
14.5931,11.4685
14.5931,11.4846
14.5931,11.5023
14.5931,11.5183
14.5931,11.5347
14.5931,11.5534
14.5931,11.5686
14.5931,11.5846
14.5931,11.6033
14.5931,11.6183
14.5931,11.6342
14.5931,11.6534
14.5931,11.6683
14.5931,11.6847
14.5931,11.7019
14.5931,11.7179
14.5931,11.7356
14.5931,11.7525
14.5931,11.7701
14.5931,11.7854
14.5931,11.8007
14.5931,11.8202
14.5931,11.837
14.5931,11.8522
14.5931,11.8678
14.5931,11.8841
14.5931,11.9018
14.5931,11.9181
14.5931,11.9354
14.5931,11.9511
14.5931,11.969
14.5931,11.9853
14.5931,12.0007
14.5931,12.0185
14.5931,12.0345
14.5931,12.0509
14.5931,12.0686
14.5931,12.0846
14.5931,12.1005
14.5931,12.1175
14.5931,12.1352
14.5931,12.1512
14.5931,12.1673
14.5931,12.1843
14.5931,12.2024
14.5931,12.2182
14.5931,12.2347
14.5931,12.2511
14.5931,12.268
14.5931,12.2858
14.5931,12.3006
14.5931,12.3188
14.5931,12.3356
14.5931,12.3509
14.5931,12.3678
14.5931,12.3844
14.5931,12.4016
14.5931,12.4187
14.5931,12.4342
14.5931,12.4512
14.5931,12.4682
14.5931,12.4853
14.5931,12.5022
14.5931,12.5177
14.5931,12.534
14.5931,12.5519
14.5931,12.5675
14.5931,12.5856
14.5931,12.6018
14.5931,12.6182
14.5931,12.6338
14.5931,12.6519
14.5931,12.6679
14.5931,12.6839
14.5931,12.7018
14.5931,12.7185
14.5931,12.7346
14.5931,12.7534
14.5931,12.7681
14.8052,12.7851
14.8052,12.8011
14.8052,12.8174
14.8052,12.8352
14.8052,12.8511
14.8052,12.8674
14.8052,12.8858
14.8052,12.9013
14.8052,12.9175
14.8052,12.9355
14.8052,12.9509
14.8052,12.9683
14.8052,12.9857
14.8052,13.0018
14.8052,13.0184
14.8052,13.0349
14.8052,13.052
14.8052,13.0682
14.8052,13.0867
14.8052,13.1011
14.8052,13.1191
14.8052,13.135
14.8052,13.1508
14.8052,13.1673
14.8052,13.1842
14.8052,13.2024
14.8052,13.2178
14.8052,13.2342
14.8052,13.2512
14.8052,13.2692
14.8052,13.2846
14.8052,13.3009
14.8052,13.3178
14.8052,13.3357
14.8052,13.3511
14.8052,13.3675
14.8052,13.3857
14.8052,13.402
14.8052,13.4174
14.8052,13.4347
14.8052,13.4523
14.8052,13.4682
14.8052,13.4845
14.8052,13.5012
14.8052,13.519
14.8052,13.5348
14.8052,13.5534
14.8052,13.5678
14.8052,13.5857
14.8052,13.6017
14.8052,13.6173
14.8052,13.6346
14.8052,13.6524
14.8052,13.6684
14.8052,13.6868
14.8052,13.7008
14.8052,13.7179
14.8052,13.7342
14.8052,13.7522
14.8052,13.7672
14.8052,13.7846
14.8052,13.8033
14.8052,13.8187
14.8052,13.8358
14.8052,13.8517
14.8052,13.8678
14.8052,13.8858
14.8052,13.9014
14.8052,13.918
14.8052,13.9339
14.8052,13.9524
14.8052,13.9675
14.8052,13.9851
14.8052,14.001
14.8052,14.0188
14.8052,14.0358
14.8052,14.0524
14.8052,14.0688
14.8052,14.0846
14.8052,14.1016
14.9994,14.1184
14.9994,14.1345
14.9994,14.1525
14.9994,14.1675
14.9994,14.185
14.9994,14.2012
14.9994,14.2191
14.9994,14.2341
14.9994,14.2517
14.9994,14.2677
14.9994,14.2857
14.9994,14.301
14.9994,14.3178
14.9994,14.3358
14.9994,14.3515
14.9994,14.3678
14.9994,14.385
14.9994,14.4012
14.9994,14.4173
14.9994,14.4339
14.9994,14.4512
14.9994,14.4681
14.9994,14.4848
14.9994,14.5019
14.9994,14.5201
14.9994,14.5369
14.9994,14.5511
14.9994,14.5675
14.9994,14.5858
14.9994,14.6025
14.9994,14.6184
14.9994,14.6346
14.9994,14.6517
14.9994,14.6683
14.9994,14.6856
14.9994,14.7006
14.9994,14.7175
14.9994,14.7355
14.9994,14.751
14.9994,14.7673
14.9994,14.7871
14.9994,14.8013
14.9994,14.8188
14.9994,14.8357
14.9994,14.8516
14.9994,14.8692
14.9994,14.8842
14.9994,14.901
14.9994,14.9179
14.9994,14.9355
14.9994,14.9518
14.9994,14.9685
14.9994,14.984
14.9994,15.0014
14.9994,15.019
14.9994,15.0348
14.9994,15.0509
14.9994,15.0679
14.9994,15.0856
14.9994,15.1019
14.9994,15.1179
14.9994,15.1355
14.9994,15.1522
14.9994,15.1675
14.9994,15.1855
14.9994,15.2012
14.9994,15.2178
14.9994,15.2355
14.9994,15.2514
14.9994,15.269
14.9994,15.2852
14.9994,15.303
14.9994,15.319
14.9994,15.3348
14.9994,15.351
14.9994,15.3678
14.9994,15.387
14.9994,15.401
14.9994,15.4174
15.2465,15.4346
15.2465,15.4514
15.2465,15.4688
15.2465,15.4846
15.2465,15.5013
15.2465,15.5189
15.2465,15.5343
15.2465,15.5507
15.2465,15.5702
15.2465,15.5846
15.2465,15.6018
15.2465,15.6176
15.2465,15.6346
15.2465,15.6524
15.2465,15.6673
15.2465,15.687
15.2465,15.7022
15.2465,15.7197
15.2465,15.7349
15.2465,15.751
15.2465,15.769
15.2465,15.7843
15.2465,15.8007
15.2465,15.8182
15.2465,15.8341
15.2465,15.852
15.2465,15.8684
15.2465,15.8852
15.2465,15.9012
15.2465,15.9189
15.2465,15.935
15.2465,15.9533
15.2465,15.9687
15.2465,15.9843
15.2465,16.0012
15.2465,16.0177
15.2465,16.037
15.2465,16.0508
15.2465,16.0674
15.2465,16.0846
15.2465,16.1024
15.2465,16.1174
15.2465,16.1352
15.2465,16.1516
15.2465,16.1691
15.2465,16.1846
15.2465,16.2039
15.2465,16.2191
15.2465,16.2345
15.2465,16.2516
15.2465,16.2682
15.2465,16.2844
15.2465,16.3013
15.2465,16.319
15.2465,16.3367
15.2465,16.352
15.2465,16.3679
15.2465,16.3867
15.2465,16.4024
15.2465,16.4182
15.2465,16.434
15.2465,16.4516
15.2465,16.4688
15.2465,16.4848
15.2465,16.5019
15.2465,16.5181
15.2465,16.5357
15.2465,16.5524
15.2465,16.5676
15.2465,16.584
15.2465,16.6024
15.2465,16.6174
15.2465,16.6345
15.2465,16.6507
15.2465,16.6689
15.2465,16.6841
15.2465,16.7015
15.4532,16.718
15.4532,16.734
15.4532,16.7515
15.4532,16.7686
15.4532,16.7844
15.4532,16.8026
15.4532,16.8174
15.4532,16.8342
15.4532,16.8513
15.4532,16.8673
15.4532,16.8847
15.4532,16.9014
15.4532,16.9174
15.4532,16.9355
15.4532,16.9513
15.4532,16.9682
15.4532,16.9851
15.4532,17.0012
15.4532,17.018
15.4532,17.0343
15.4532,17.0512
15.4532,17.0678
15.4532,17.0847
15.4532,17.1017
15.4532,17.1179
15.4532,17.1352
15.4532,17.1523
15.4532,17.168
15.4532,17.1867
15.4532,17.2009
15.4532,17.22
15.4532,17.2345
15.4532,17.2525
15.4532,17.2682
15.4532,17.2842
15.4532,17.3014
15.4532,17.3174
15.4532,17.3349
15.4532,17.3515
15.4532,17.3679
15.4532,17.384
15.4532,17.4013
15.4532,17.4175
15.4532,17.4346
15.4532,17.4522
15.4532,17.4688
15.4532,17.4846
15.4532,17.5033
15.4532,17.5178
15.4532,17.535
15.4532,17.5515
15.4532,17.5674
15.4532,17.5841
15.4532,17.6022
15.4532,17.6175
15.4532,17.6355
15.4532,17.651
15.4532,17.6682
15.4532,17.6858
15.4532,17.7018
15.4532,17.7186
15.4532,17.7344
15.4532,17.7514
15.4532,17.7682
15.4532,17.785
15.4532,17.802
15.4532,17.8183
15.4532,17.8358
15.4532,17.8528
15.4532,17.8689
15.4532,17.8848
15.4532,17.9016
15.4532,17.9174
15.4532,17.9345
15.4532,17.9534
15.4532,17.9684
15.4532,17.9842
15.6664,18.0011
15.6664,18.0188
15.6664,18.0341
15.6664,18.0513
15.6664,18.0687
15.6664,18.0853
15.6664,18.1019
15.6664,18.1191
15.6664,18.1349
15.6664,18.1525
15.6664,18.169
15.6664,18.185
15.6664,18.2011
15.6664,18.2175
15.6664,18.2366
15.6664,18.2506
15.6664,18.2687
15.6664,18.286
15.6664,18.3008
15.6664,18.3186
15.6664,18.3343
15.6664,18.3509
15.6664,18.3675
15.6664,18.3856
15.6664,18.4034
15.6664,18.419
15.6664,18.4339
15.6664,18.4509
15.6664,18.4681
15.6664,18.4849
15.6664,18.5009
15.6664,18.5187
15.6664,18.5339
15.6664,18.5514
15.6664,18.5684
15.6664,18.5844
15.6664,18.6016
15.6664,18.6176
15.6664,18.634
15.6664,18.651
15.6664,18.6702
15.6664,18.6845
15.6664,18.701
15.6664,18.7185
15.6664,18.7348
15.6664,18.7536
15.6664,18.7689
15.6664,18.7839
15.6664,18.8012
15.6664,18.8189
15.6664,18.8348
15.6664,18.852
15.6664,18.8675
15.6664,18.8849
15.6664,18.9009
15.6664,18.9181
15.6664,18.9339
15.6664,18.9517
15.6664,18.9686
15.6664,18.9851
15.6664,19.0022
15.6664,19.0181
15.6664,19.0353
15.6664,19.0517
15.6664,19.068
15.6664,19.084
15.6664,19.1017
15.6664,19.1189
15.6664,19.1341
15.6664,19.1523
15.6664,19.1675
15.6664,19.1843
15.6664,19.2014
15.6664,19.2173
15.6664,19.2343
15.6664,19.2508
15.866,19.27
15.866,19.2841
15.866,19.3026
15.866,19.3181
15.866,19.334
15.866,19.3513
15.866,19.3684
15.866,19.3856
15.866,19.4017
15.866,19.4186
15.866,19.4343
15.866,19.4512
15.866,19.4703
15.866,19.486
15.866,19.5012
15.866,19.5203
15.866,19.5347
15.866,19.5507
15.866,19.5683
15.866,19.5842
15.866,19.6013
15.866,19.6182
15.866,19.6348
15.866,19.651
15.866,19.668
15.866,19.6845
15.866,19.7023
15.866,19.7185
15.866,19.7352
15.866,19.7523
15.866,19.768
15.866,19.7853
15.866,19.8012
15.866,19.8191
15.866,19.835
15.866,19.8523
15.866,19.8676
15.866,19.8841
15.866,19.9019
15.866,19.9178
15.866,19.9346
15.866,19.9512
15.866,19.9683
15.866,19.9842
15.866,20.0023
15.866,20.0183
15.866,20.0348
15.866,20.052
15.866,20.0691
15.866,20.0851
15.866,20.1021
15.866,20.1176
15.866,20.1367
15.866,20.1528
15.866,20.1689
15.866,20.1856
15.866,20.2021
15.866,20.2191
15.866,20.2352
15.866,20.2523
15.866,20.2682
15.866,20.2849
15.866,20.301
15.866,20.3184
15.866,20.334
15.866,20.3534
15.866,20.368
15.866,20.386
15.866,20.4035
15.866,20.4193
15.866,20.4351
15.866,20.451
15.866,20.4677
15.866,20.4844
16.1276,20.5018
16.1276,20.5176
16.1276,20.5346
16.1276,20.5512
16.1276,20.5681
16.1276,20.5843
16.1276,20.6017
16.1276,20.6193
16.1276,20.635
16.1276,20.6527
16.1276,20.6678
16.1276,20.6842
16.1276,20.7023
16.1276,20.719
16.1276,20.7342
16.1276,20.7507
16.1276,20.7692
16.1276,20.7852
16.1276,20.802
16.1276,20.8182
16.1276,20.8354
16.1276,20.8514
16.1276,20.8684
16.1276,20.8843
16.1276,20.9011
16.1276,20.9179
16.1276,20.936
16.1276,20.9522
16.1276,20.9683
16.1276,20.9856
16.1276,21.0018
16.1276,21.0189
16.1276,21.0346
16.1276,21.0523
16.1276,21.0685
16.1276,21.0853
16.1276,21.1013
16.1276,21.1188
16.1276,21.1342
16.1276,21.1536
16.1276,21.1679
16.1276,21.186
16.1276,21.2035
16.1276,21.2187
16.1276,21.2353
16.1276,21.2511
16.1276,21.2685
16.1276,21.2842
16.1276,21.3014
16.1276,21.3174
16.1276,21.336
16.1276,21.3513
16.1276,21.3703
16.1276,21.3845
16.1276,21.4024
16.1276,21.4177
16.1276,21.4355
16.1276,21.4523
16.1276,21.4681
16.1276,21.4856
16.1276,21.5012
16.1276,21.5202
16.1276,21.534
16.1276,21.5527
16.1276,21.5675
16.1276,21.5852
16.1276,21.6022
16.1276,21.6181
16.1276,21.6348
16.1276,21.651
16.1276,21.6686
16.1276,21.6843
16.1276,21.7037
16.1276,21.7173
16.3109,21.7371
16.3109,21.7512
16.3109,21.7701
16.3109,21.7848
16.3109,21.8008
16.3109,21.8193
16.3109,21.8349
16.3109,21.8525
16.3109,21.868
