richtmyer,time
25.7065,6.91431
25.7065,6.93088
25.7065,6.94829
25.7065,6.96573
25.7065,6.98201
25.7065,6.99778
25.7065,7.01421
25.7065,7.03154
25.7065,7.04765
25.7065,7.06482
25.7065,7.08225
25.7065,7.09871
25.7065,7.11483
25.7065,7.1308
25.7065,7.14784
25.7065,7.16419
25.7065,7.18339
25.7065,7.19966
25.7065,7.21454
25.7065,7.23219
25.7065,7.24817
25.7065,7.26413
25.7065,7.28091
25.7065,7.29808
25.7065,7.31476
25.7065,7.33189
25.7065,7.34933
25.7065,7.36625
25.7065,7.38215
25.7065,7.39783
25.7065,7.41467
25.7065,7.43082
26.2155,7.45003
26.2155,7.46624
26.2155,7.4809
26.2155,7.49838
26.2155,7.51434
26.2155,7.53265
26.2155,7.54742
26.2155,7.56593
26.2155,7.58095
26.2155,7.59738
26.2155,7.61501
26.2155,7.63113
26.2155,7.64759
26.2155,7.66432
26.2155,7.68076
26.2155,7.69783
26.2155,7.71576
26.2155,7.73221
26.2155,7.74898
26.2155,7.76433
26.2155,7.78242
26.2155,7.79831
26.2155,7.81438
26.2155,7.83127
26.2155,7.84772
26.2155,7.86421
26.2155,7.88099
26.2155,7.89812
26.2155,7.91558
26.2155,7.93172
26.2155,7.9478
26.2155,7.96398
26.2155,7.98154
26.2155,7.99785
26.2155,8.01441
26.2155,8.03191
26.2155,8.04746
26.2155,8.06423
26.2155,8.08304
26.2155,8.09879
26.2155,8.11427
26.2155,8.13186
26.2155,8.148
26.2155,8.16466
26.2155,8.18191
26.4259,8.19788
26.4259,8.21475
26.4259,8.23354
26.4259,8.24932
26.4259,8.26408
26.4259,8.28269
26.4259,8.29869
26.4259,8.31549
26.4259,8.3327
26.4259,8.34811
26.4259,8.3641
26.4259,8.38311
26.4259,8.39903
26.4259,8.41422
26.4259,8.43178
26.4259,8.44789
26.4259,8.46469
26.4259,8.48169
26.4259,8.49761
26.4259,8.51417
26.4259,8.53265
26.4259,8.54857
26.4259,8.56422
26.4259,8.58154
26.4259,8.59798
26.4259,8.61425
26.4259,8.63158
26.4259,8.64929
26.4259,8.66635
26.4259,8.6817
26.4259,8.6975
26.4259,8.71454
26.4259,8.73136
26.4259,8.74753
26.4259,8.7665
26.4259,8.78207
26.4259,8.79879
26.4259,8.81584
26.4259,8.83129
26.4259,8.84767
26.4259,8.86592
26.4259,8.88165
26.4259,8.89748
26.4259,8.916
26.4259,8.93143
26.8737,8.94833
26.8737,8.96604
26.8737,8.98253
26.8737,8.99912
26.8737,9.01436
26.8737,9.03071
26.8737,9.04864
26.8737,9.06438
26.8737,9.08125
26.8737,9.09774
26.8737,9.11415
26.8737,9.13237
26.8737,9.14798
26.8737,9.16469
26.8737,9.18096
26.8737,9.19864
